level,word,meaning
1,abandon,を捨てる
1,abate,和らぐ
1,abdicate,退位する
1,abhor,をひどく嫌う
1,abject,悲惨な
1,abjure,を放棄する
1,abominable,忌まわしい
1,abrogate,を廃止する
1,abscond,潜走する
1,absolve,を放免する
1,abstain,を控える
1,abstruse,難解な
1,accede,同意する
1,accentuate,を目立たせる
1,acclaim,を賞賛する
1,accolade,賞賛
1,accord,一致
1,accretion,増大
1,accrue,生じる
1,acerbic,辛辣な
1,acquiesce,黙認する
1,acrimony,険悪さ
1,acumen,洞察力
1,adage,格言
1,adamant,断固とした
1,adduce,を挙げる
1,adept,熟達した
1,adherent,支持者
1,adjunct,付属物
1,admonish,を諭す
1,adroit,巧みな
1,adulation,お世辞
1,advent,出現
1,adversary,敵
1,adversity,逆境
1,advocate,を主張する
1,affable,愛想の良い
1,affinity,親近感
1,affliction,苦痛
1,affluent,裕福な
1,affront,侮辱
1,aggrandize,を大きくする
1,aggravate,を悪化させる
1,aggregate,集計
1,aghast,仰天した
1,agility,機敏さ
1,agitate,を扇動する
1,agnostic,不可知論者
1,agog,熱望して
1,ailment,病気
1,alacrity,敏活さ
1,alchemy,錬金術
1,alienate,を遠ざける
1,allay,を鎮める
1,allege,を断言する
1,alleviate,を軽減する
1,allocate,を割り当てる
1,allude,をほのめかす
1,allure,を誘惑する
1,aloof,離れて
1,altercation,口論
1,altruism,利他主義
1,amalgamate,を合併する
1,amass,を蓄える
1,ambidextrous,両利きの
1,ambiguous,曖昧な
1,ambivalence,ためらい
1,ameliorate,を改善する
1,amenable,従順な
1,amiable,愛想の良い
1,amicable,友好的な
1,amity,親善
1,amnesty,恩赦
1,amorphous,無定形の
1,anachronism,時代錯誤
1,analogy,類推
1,anarchy,無政府状態
1,anathema,嫌悪の対象
1,ancillary,補助的な
1,anecdote,逸話
1,anguish,苦悩
1,animosity,敵意
1,annex,を併合する
1,annihilate,を全滅させる
1,anomaly,例外
1,antagonize,を敵に回す
1,antecedent,先行するもの
1,anthology,選集
1,anticlimax,竜頭蛇尾
1,antidote,解毒剤
1,antipathy,反感
1,antiquity,古さ
1,antithesis,正反対
1,apathy,無関心
1,apex,頂点
1,aphorism,格言
1,aplomb,沈着
1,apocalyptic,黙示録的な
1,apocryphal,偽の
1,apogee,最高点
1,appease,をなだめる
1,appellation,名称
1,appraisal,査定
1,apprehend,を捕らえる
1,approbation,承認
1,appropriate,を私物化する
1,arbitrary,勝手な
1,arcane,秘密の
1,archaic,古風な
1,archetype,原型
1,ardent,熱烈な
1,arduous,困難な
1,arid,乾燥した
1,aristocracy,貴族政治
1,armistice,休戦
1,aroma,芳香
1,arrogant,傲慢な
1,articulate,を明確に述べる
1,artifact,工芸品
1,artifice,策
1,artisan,職人
1,ascendancy,優位
1,ascertain,を確かめる
1,ascetic,禁欲的な
1,ascribe,をのせいにする
1,asperity,辛辣さ
1,aspersion,中傷
1,aspirant,志望者
1,assail,を攻撃する
1,assiduous,勤勉な
1,assimilate,を同化させる
1,assuage,を和らげる
1,astute,鋭い
1,asylum,亡命
1,atrocity,残虐行為
1,atrophy,萎縮
1,attainment,達成
1,attenuate,を弱める
1,attest,を証明する
1,attrition,摩滅
1,audacious,大胆な
1,augment,を増やす
1,augur,の前兆となる
1,auspicious,幸先の良い
1,austere,厳しい
1,authentic,本物の
1,authoritarian,権威主義の
1,autonomous,自律的な
1,avarice,強欲
1,avenge,の復讐をする
1,aversion,嫌悪
1,avert,をそらす
1,avid,熱心な
1,avow,を公言する
1,awry,曲がった
1,axiom,公理
1,baleful,災いをもたらす
1,balk,をためらう
1,banal,平凡な
1,bane,破滅の元
1,banish,を追放する
1,banter,冗談
1,barb,刺
1,barbarous,野蛮な
1,barrage,集中砲火
1,barren,不毛な
1,bask,日光浴をする
1,bedlam,大混乱
1,beguile,をだます
1,beholden,恩義がある
1,belabor,をくどくど述べる
1,belated,遅れた
1,beleaguer,を包囲する
1,belie,を偽り伝える
1,belittle,を軽んじる
1,bellicose,好戦的な
1,belligerent,交戦中の
1,bemoan,を嘆く
1,benediction,祝福
1,benefactor,後援者
1,benevolence,善行
1,benign,恵み深い
1,bequeath,を遺贈する
1,berate,を叱り飛ばす
1,bereave,を奪う
1,beseech,を嘆願する
1,beset,を悩ませる
1,besiege,を包囲する
1,besmirch,を汚す
1,bestial,獣のような
1,bestow,を授ける
1,betray,を裏切る
1,bewail,を嘆き悲しむ
1,bewilder,を当惑させる
1,bias,偏見
1,bicker,口論する
1,biennial,2年ごとの
1,bigotry,偏執
1,bilateral,二国間の
1,bilk,をだまし取る
